"train/global_step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - train/reward_lift_positive_lh__MAX","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MIN","stan_linear_2phase_s200_sys8_p2_g16_t170_ceil50_sw50_fp - _step__MAX"
"139","3.800239237439466","3.800239237439466","3.800239237439466","7508","7508","7508"
"140","3.5291006826376554","3.5291006826376554","3.5291006826376554","7562","7562","7562"
"141","8.452299040964563","8.452299040964563","8.452299040964563","7616","7616","7616"
"142","5.800285586419253","5.800285586419253","5.800285586419253","7670","7670","7670"
"143","1.4108449286843727","1.4108449286843727","1.4108449286843727","7724","7724","7724"
"144","13.79096890489903","13.79096890489903","13.79096890489903","7778","7778","7778"
"145","10.128934757387645","10.128934757387645","10.128934757387645","7832","7832","7832"
"146","23.039509607516845","23.039509607516845","23.039509607516845","7886","7886","7886"
"147","25.62344723293232","25.62344723293232","25.62344723293232","7940","7940","7940"
"148","4.448919148498757","4.448919148498757","4.448919148498757","7994","7994","7994"
"149","1.9148579630471394","1.9148579630471394","1.9148579630471394","8048","8048","8048"
"150","4.238487896946314","4.238487896946314","4.238487896946314","8102","8102","8102"
"151","1.4786868119934398","1.4786868119934398","1.4786868119934398","8156","8156","8156"
"152","4.045943427197828","4.045943427197828","4.045943427197828","8210","8210","8210"
"153","25.304654987411","25.304654987411","25.304654987411","8264","8264","8264"
"154","30.290797553896486","30.290797553896486","30.290797553896486","8318","8318","8318"
"155","6.464895610103982","6.464895610103982","6.464895610103982","8372","8372","8372"
"156","1.727769422155539","1.727769422155539","1.727769422155539","8426","8426","8426"
"157","6.552340052447246","6.552340052447246","6.552340052447246","8480","8480","8480"
"158","2.701828528062552","2.701828528062552","2.701828528062552","8534","8534","8534"
"159","5.469130101131785","5.469130101131785","5.469130101131785","8588","8588","8588"
"160","2.624231428414988","2.624231428414988","2.624231428414988","8642","8642","8642"
"161","2.9487460833669026","2.9487460833669026","2.9487460833669026","8696","8696","8696"
"162","2.405444688644174","2.405444688644174","2.405444688644174","8750","8750","8750"
"163","4.629491601851654","4.629491601851654","4.629491601851654","8804","8804","8804"
"164","6.9778046026042855","6.9778046026042855","6.9778046026042855","8858","8858","8858"
"165","3.312862495029232","3.312862495029232","3.312862495029232","8912","8912","8912"
"166","3.13956574999962","3.13956574999962","3.13956574999962","8966","8966","8966"
"167","4.993025698484288","4.993025698484288","4.993025698484288","9020","9020","9020"
"168","22.75285526032221","22.75285526032221","22.75285526032221","9074","9074","9074"
"169","16.54047820050752","16.54047820050752","16.54047820050752","9128","9128","9128"
"170","8.848340533232424","8.848340533232424","8.848340533232424","9182","9182","9182"
"171","15.40910425520893","15.40910425520893","15.40910425520893","9236","9236","9236"
"172","4.200348674109354","4.200348674109354","4.200348674109354","9290","9290","9290"
"173","15.068487931962","15.068487931962","15.068487931962","9344","9344","9344"
"174","3.87766682032449","3.87766682032449","3.87766682032449","9398","9398","9398"
"175","2.285021561519388","2.285021561519388","2.285021561519388","9452","9452","9452"
"176","5.893710227304889","5.893710227304889","5.893710227304889","9506","9506","9506"
"177","29.19783553652563","29.19783553652563","29.19783553652563","9560","9560","9560"
"178","15.04754237232781","15.04754237232781","15.04754237232781","9614","9614","9614"
"179","4.019368193500214","4.019368193500214","4.019368193500214","9668","9668","9668"
"180","18.7607615100617","18.7607615100617","18.7607615100617","9722","9722","9722"
"181","2.4946672207097946","2.4946672207097946","2.4946672207097946","9776","9776","9776"
"182","8.834510638831615","8.834510638831615","8.834510638831615","9830","9830","9830"
"183","5.060127106272526","5.060127106272526","5.060127106272526","9884","9884","9884"
"184","2.043794081430627","2.043794081430627","2.043794081430627","9938","9938","9938"
"185","26.67756987461164","26.67756987461164","26.67756987461164","9992","9992","9992"
"186","3.8809650353407994","3.8809650353407994","3.8809650353407994","10046","10046","10046"
"187","2.4998117088603884","2.4998117088603884","2.4998117088603884","10100","10100","10100"
"188","5.973541488797787","5.973541488797787","5.973541488797787","10154","10154","10154"
"189","71.73971567884925","71.73971567884925","71.73971567884925","10208","10208","10208"
"190","6.378136279795905","6.378136279795905","6.378136279795905","10262","10262","10262"
"191","14.55893935079246","14.55893935079246","14.55893935079246","10316","10316","10316"
"192","6.126581650184137","6.126581650184137","6.126581650184137","10370","10370","10370"
"193","4.200074802914664","4.200074802914664","4.200074802914664","10424","10424","10424"
"194","5.786336497416319","5.786336497416319","5.786336497416319","10478","10478","10478"
"195","15.45063767544928","15.45063767544928","15.45063767544928","10532","10532","10532"
"196","5.980619873658498","5.980619873658498","5.980619873658498","10586","10586","10586"
"197","7.367466578713204","7.367466578713204","7.367466578713204","10640","10640","10640"
"198","3.727953595682389","3.727953595682389","3.727953595682389","10694","10694","10694"
"199","6.626982831695052","6.626982831695052","6.626982831695052","10748","10748","10748"
